"","recipe","Source","Page","Type","Cuisine","diet","Ingredients","makeability","Needed"
"439","spinach and mushroom lasagna","The Food Lab",738,"meal","western","Vegetarian","<span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>spinach</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #458B00;'>nutmeg</span>, <span style='color: #CD2626;'>cottage cheese</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #1C86EE;'>lasagna noodles</span>, <span style='color: #CD2626;'>mushrooms</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: orange;'>thyme</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>milk</span>, <span style='color: #CD2626;'>mozzerella</span>, <span style='color: #458B00;'>parmesan</span>",5,7
"440","classic baked ziti","The Food Lab",746,"meal","mediterranean","Vegetarian","<span style='color: #458B00;'>pasta</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: orange;'>basil</span>, <span style='color: #458B00;'>canned whole tomatoes</span>, <span style='color: #CD2626;'>ricotta</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>heavy cream</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #CD2626;'>mozzerella</span>",5,4
"441","mild lemon olive oil vinaigrette","The Food Lab",781,"dressing","western","Vegan","<span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"442","mild red wine olive oil vinaigrette","The Food Lab",781,"dressing","western","Vegan","<span style='color: #458B00;'>red wine vinegar</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>olive oil</span>",1,0
"443","spring vegetable salad","The Food Lab",783,"salad","western","Vegan","<span style='color: #CD2626;'>brussels sprouts</span> or <span style='color: #CD2626;'>fava beans</span> or <span style='color: #458B00;'>lemon</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #458B00;'>frozen peas</span>, <span style='color: #CD2626;'>snap peas</span>, <span style='color: #CD2626;'>sprouts</span> or <span style='color: #CD2626;'>asparagus</span>, <span style='color: #1C86EE;'>mild lemon olive oil vinaigrette</span> or <span style='color: #1C86EE;'>mild red wine olive oil vinaigrette</span>",5,6
"444","fingerling potato salad","The Food Lab",788,"side","western","Vegan","<span style='color: #CD2626;'>fingerling potatoes</span>, <span style='color: #CD2626;'>yukon gold potato</span>, <span style='color: #458B00;'>white wine vinegar</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>pickle</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #CD2626;'>celery</span> or <span style='color: #CD2626;'>parsley</span> or <span style='color: #458B00;'>dill</span>",5,4
"445","arugula and pear salad","The Food Lab",789,"salad","western","Vegetarian","<span style='color: #CD2626;'>pear</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>arugula</span>, <span style='color: #458B00;'>parmesan</span>",5,2
"446","balsamic soy dressing","The Food Lab",790,"dressing","western","Vegan","<span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>soy sauce</span>, <span style='color: #458B00;'>dijon mustard</span>",1,0
"447","hazelnut vinaigrette","The Food Lab",792,"dressing","western","Vegan","<span style='color: #CD2626;'>hazelnuts</span>, <span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>honey</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #CD2626;'>tarragon</span> or <span style='color: #458B00;'>olive oil</span> or <span style='color: #458B00;'>hazelnut oil</span>, <span style='color: #458B00;'>canola oil</span>",5,2
"448","green bean salad with hazelnut vinaigrette","The Food Lab",792,"salad","western","Vegan","<span style='color: orange;'>red onion</span>, <span style='color: #CD2626;'>green beans</span>, <span style='color: #CD2626;'>hazelnut vinaigrette</span>",5,3
"449","roasted pear salad","The Food Lab",793,"salad","western","Vegetarian","<span style='color: #CD2626;'>pear</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #CD2626;'>salad greens</span>, <span style='color: #CD2626;'>hazelnut vinaigrette</span>, <span style='color: #458B00;'>gorgonzola</span> or <span style='color: #CD2626;'>stilton</span> or <span style='color: #CD2626;'>blue cheese</span>, <span style='color: #CD2626;'>pomegranate</span>",5,4
"450","roasted beet and citrus salad","The Food Lab",795,"salad","western","Vegan","<span style='color: #CD2626;'>beets</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #CD2626;'>rosemary</span> or <span style='color: orange;'>thyme</span>, <span style='color: #1C86EE;'>pine nut vinaigrette</span>, <span style='color: #CD2626;'>grapefruit</span> or <span style='color: #458B00;'>orange</span>, <span style='color: #CD2626;'>arugula</span>",5,5
"451","pine nut vinaigrette","The Food Lab",795,"dressing","western","Vegan","<span style='color: #458B00;'>sherry vinegar</span>, <span style='color: #458B00;'>agave nectar</span>, <span style='color: #458B00;'>pine nuts</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>walnut oil</span>",1,0
"452","fig and pumpkin seed vinaigrette","The Food Lab",799,"dressing","western","Vegan","<span style='color: #458B00;'>balsamic vinegar</span>, <span style='color: #CD2626;'>fig preserves</span> or <span style='color: #CD2626;'>apricot preserves</span>, <span style='color: #458B00;'>pepitas</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>olive oil</span>",5,1
"453","garlic parmesan croutons","The Food Lab",824,"prep","western","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>crusty bread</span>, <span style='color: #458B00;'>parmesan</span>",3,1
"454","marinated kale salad with chickpeas and sumac onions","The Food Lab",827,"salad","western","Vegan","<span style='color: #458B00;'>kale</span>, <span style='color: #458B00;'>olive oil</span>, <span style='color: orange;'>red onion</span>, <span style='color: #458B00;'>sumac</span>, <span style='color: #458B00;'>sesame seeds</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: #458B00;'>canned chickpeas</span>",3,1
"455","three ingredient blue cheese dressing","The Food Lab",832,"dressing","western","Vegetarian","<span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>mayonnaise</span>, <span style='color: #CD2626;'>blue cheese</span>",5,1
"456","chopped greek salad","The Food Lab",837,"salad","mediterranean","Vegetarian","<span style='color: #458B00;'>cucumber</span>, <span style='color: orange;'>red onion</span>, <span style='color: #458B00;'>bell pepper</span>, <span style='color: #CD2626;'>kalamata olives</span>, <span style='color: #458B00;'>feta</span>, <span style='color: #CD2626;'>parsley</span>, <span style='color: #1C86EE;'>mild red wine olive oil vinaigrette</span> or <span style='color: #1C86EE;'>mild lemon olive oil vinaigrette</span>",5,4
"457","buttermilk ranch dressing","The Food Lab",843,"dressing","western","Vegetarian","<span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>sour cream</span> or <span style='color: #CDAD00;'>greek yogurt</span>, <span style='color: #458B00;'>lemon</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dijon mustard</span>, <span style='color: orange;'>chives</span>, <span style='color: #458B00;'>cilantro</span>, <span style='color: #458B00;'>cayenne pepper</span>",3,1
"458","extra crunch chicken fried steak","The Food Lab",874,"main","western","Non-vegetarian","<span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>garlic powder</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #CD2626;'>flap meat</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>cornstartch</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: orange;'>whole milk</span>, <span style='color: #458B00;'>heavy cream</span>",5,2
"459","extra crunchy fried chicken","The Food Lab",876,"main","western","Non-vegetarian","<span style='color: #458B00;'>paprika</span>, <span style='color: #458B00;'>black pepper</span>, <span style='color: #458B00;'>garlic powder</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>cayenne pepper</span>, <span style='color: #458B00;'>buttermilk</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>cornstartch</span>, <span style='color: #458B00;'>baking powder</span>",1,0
"460","chicken parmesan","The Food Lab",881,"main","western","Non-vegetarian","<span style='color: #458B00;'>chicken breast</span>, <span style='color: #458B00;'>panko</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>parmesan</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #458B00;'>vegetable oil</span>, <span style='color: #1C86EE;'>red pasta sauce</span>, <span style='color: #CD2626;'>mozzerella</span>, <span style='color: orange;'>basil</span>, <span style='color: #CD2626;'>parsley</span>",5,4
"461","perfect easy red sauve","The Food Lab",695,"sauce","mediterranean","Vegetarian","<span style='color: #458B00;'>olive oil</span>, <span style='color: #458B00;'>butter</span>, <span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>garlic</span>, <span style='color: #458B00;'>dried oregano</span>, <span style='color: #458B00;'>red pepper flakes</span>, <span style='color: orange;'>basil</span> or <span style='color: #458B00;'>canned whole tomatoes</span>",1,0
"462","beer battered fried cod","The Food Lab",893,"main","western","Non-vegetarian","<span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #CD2626;'>lager</span>, <span style='color: #CD2626;'>vodka</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>cod</span>",5,2
"463","extra tangy tartar sauce","The Food Lab",894,"sauce","western","Vegan","<span style='color: #458B00;'>mayonnaise</span>, <span style='color: #458B00;'>shallot</span>, <span style='color: #458B00;'>capers</span>, <span style='color: #458B00;'>pickle</span>, <span style='color: #458B00;'>sugar</span>, <span style='color: #CD2626;'>parsley</span>",5,1
"464","foolproof onion rings","The Food Lab",900,"appetizer","western","Vegan","<span style='color: #458B00;'>onion</span>, <span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>baking powder</span>, <span style='color: #458B00;'>baking soda</span>, <span style='color: #458B00;'>paprika</span>, <span style='color: #CD2626;'>lager</span>, <span style='color: #CD2626;'>vodka</span>",5,2
"465","tempura vegetables ","The Food Lab",902,"side","asian","Vegetarian","<span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #CD2626;'>vodka</span>, <span style='color: #CD2626;'>club soda</span>, <span style='color: #458B00;'>carrot</span> or <span style='color: #CD2626;'>green beans</span> or <span style='color: #CD2626;'>eggplant</span> or <span style='color: #458B00;'>sweet potato</span> or <span style='color: #CD2626;'>mushrooms</span> or <span style='color: #458B00;'>zucchini</span>",5,2
"466","tempura shrimp with vegetables","The Food Lab",902,"meal","asian","Non-vegetarian","<span style='color: #458B00;'>canola oil</span>, <span style='color: #458B00;'>cornstarch</span>, <span style='color: #458B00;'>flour</span>, <span style='color: #458B00;'>egg</span>, <span style='color: #CD2626;'>vodka</span>, <span style='color: #CD2626;'>club soda</span>, <span style='color: #458B00;'>carrot</span> or <span style='color: #CD2626;'>green beans</span> or <span style='color: #CD2626;'>eggplant</span> or <span style='color: #458B00;'>sweet potato</span> or <span style='color: #CD2626;'>mushrooms</span> or <span style='color: #458B00;'>zucchini</span>, <span style='color: #CD2626;'>shrimp</span>",5,3
